no,Main,Sub,"type ",basic,moderate,strict,custom,level
1.1.1,"Account Policies ",Password Policy,RANGE,"[24, 'upper bound']","[36, 'upper bound']","[50, 'upper bound']","[24, 'upper bound']",basic
1.1.2,"Account Policies ",Password Policy,RANGE,"[1, 90]","[1, 60]","[1, 30]","[1, 90]",basic
1.1.3,"Account Policies ",Password Policy,RANGE,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",basic
1.1.4,"Account Policies ",Password Policy,RANGE,"[12, 'upper bound']","[14, 'upper bound']","[16, 'upper bound']","[12, 'upper bound']",basic
1.2.1,"Account Policies ","Account Lockout Policy ",RANGE,"[15, 'upper bound']","[30, 'upper bound']","[60, 'upper bound']","[15, 'upper bound']",basic
1.2.2,"Account Policies ","Account Lockout Policy ",RANGE,"[5, 1]","[3, 1]","[1, 1]","[5, 1]",basic
3.2.3,Security Options,Interactive logon,RANGE,"[10, 1]","[5, 1]","[3, 1]","[10, 1]",basic
3.2.4,Security Options,Interactive logon,RANGE,"[900,1]","[600,1]","[300,1]","[900,1]",basic
3.2.6,Security Options,Interactive logon,RANGE,"[14, 5]","[10, 5]","[5, 5]","[14, 5]",basic
3.3.1,Security Options,"Microsoft network server ",RANGE,"[15,1]","[10,1]","[5,1]","[15,1]",basic
5.1.6,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",RANGE,"[16384, 'upper bound']","[32768, 'upper bound']","[65536, 'upper bound']","[16384, 'upper bound']",basic
5.2.8,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,RANGE,"[16384, 'upper bound']","[32768, 'upper bound']","[65536, 'upper bound']","[16384, 'upper bound']",basic
1.1.5,"Account Policies ",Password Policy,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
1.1.6,"Account Policies ",Password Policy,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
1.2.3,"Account Policies ","Account Lockout Policy ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
2.1.1,"Local Policies ",User Rights Assignment,ENUM,['No One'],['No One'],['No One'],['No One'],basic
2.1.2,"Local Policies ",User Rights Assignment,ENUM,"['Administrators,Remote Desktop Users']",['Administrators'],['Administrators'],"['Administrators,Remote Desktop Users']",basic
2.1.3,"Local Policies ",User Rights Assignment,ENUM,"['Administrators,LOCAL SERVICE,NETWORK SERVICE']","['Administrators,LOCAL SERVICE,NETWORK SERVICE']","['Administrators,LOCAL SERVICE,NETWORK SERVICE']","['Administrators,LOCAL SERVICE,NETWORK SERVICE']",basic
2.1.4,"Local Policies ",User Rights Assignment,ENUM,"['Administrators,Users']",['Administrators'],['Administrators'],"['Administrators,Users']",basic
2.1.5,"Local Policies ",User Rights Assignment,ENUM,['Administrators'],"['Administrators,Backup Operators']",['Administrators'],['Administrators'],basic
2.1.6,"Local Policies ",User Rights Assignment,ENUM,"['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']",basic
2.1.7,"Local Policies ",User Rights Assignment,ENUM,"['Administrators,LOCAL SERVICE,Users']","['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE']","['Administrators,LOCAL SERVICE,Users']",basic
3.1.1,Security Options,"Accounts ",ENUM,['3'],['3'],['3'],['3'],basic
3.1.2,Security Options,"Accounts ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.1.3,Security Options,"Accounts ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.1.4,Security Options,"Accounts ",ENUM,"['Not ""Administrator""']","['Not ""Administrator""']","['Not ""Administrator""']","['Not ""Administrator""']",basic
3.1.5,Security Options,"Accounts ",ENUM,['RenamedGuest'],['LocalVisitor'],['K51b3_Visitor'],['RenamedGuest'],basic
3.2.1,Security Options,Interactive logon,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.2.2,Security Options,Interactive logon,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.2.5,Security Options,Interactive logon,ENUM,['Authorized Use Only'],['Warning: Authorized Access Only'],['Legal Notice and Consent Banner'],['Authorized Use Only'],basic
3.3.2,Security Options,"Microsoft network server ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.3,Security Options,"Microsoft network server ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.3.4,Security Options,"Microsoft network server ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.5,Security Options,"Microsoft network server ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.6,Security Options,"Microsoft network server ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.3.7,Security Options,"Microsoft network server ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
3.4.1,Security Options,Network security,ENUM,['2147483640'],['2147483640'],['2147483640'],['2147483640'],basic
3.4.2,Security Options,Network security,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.4.3,Security Options,Network security,ENUM,['Negotiate signing'],['Require signing'],['Require signing'],['Negotiate signing'],basic
3.4.4,Security Options,Network security,ENUM,['524288'],['537395200'],['537395200'],['524288'],basic
3.4.5,Security Options,Network security,ENUM,['537395200'],['537395200'],['537395200'],['537395200'],basic
4.1.1,"System settings ","User Account Control ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.1.2,"System settings ","User Account Control ",ENUM,['2'],['1'],['1'],['2'],basic
4.1.3,"System settings ","User Account Control ",ENUM,['0'],['0'],['0'],['0'],basic
4.1.4,"System settings ","User Account Control ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.1.5,"System settings ","User Account Control ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.1.6,"System settings ","User Account Control ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
4.2.1,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.2,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.3,"System settings ","System Services  ",ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.4,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.5,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.6,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.7,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.8,"System settings ","System Services  ",ENUM,['0'],['0'],['0'],['0'],basic
4.2.9,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.10,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.11,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.12,"System settings ","System Services  ",ENUM,"['Disabled', 'Not Installed']",['Not Installed'],['Not Installed'],"['Disabled', 'Not Installed']",basic
4.2.13,"System settings ","System Services  ",ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",['Not Installed'],"['Disabled', 'Not Installed']",basic
4.2.14,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.15,"System settings ","System Services  ",ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.16,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.17,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.18,"System settings ","System Services  ",ENUM,"['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']","['Disabled', 'Not Installed']",basic
4.2.19,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.20,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.21,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.22,"System settings ","System Services  ",ENUM,"['Disabled', 'Not Installed']",['Not Installed'],['Not Installed'],"['Disabled', 'Not Installed']",basic
4.2.23,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.24,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.25,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.26,"System settings ","System Services  ",ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
5.1.1,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['On'],['On'],['On'],['On'],basic
5.1.2,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['Block'],['Block'],['Block'],['Block'],basic
5.1.3,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['Allow'],['Block'],['Block'],['Allow'],basic
5.1.4,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['No'],['No'],['No'],['No'],basic
5.1.5,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],['%SystemRoot%\System32\logfiles\firewall\privatefw.log'],basic
5.1.7,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
5.1.8,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ","Private Profile ",ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
5.2.1,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['On'],['On'],['On'],['On'],basic
5.2.2,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['Block'],['Block'],['Block'],['Block'],basic
5.2.3,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['Allow'],['Block'],['Block'],['Allow'],basic
5.2.4,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['No'],['No'],['No'],['No'],basic
5.2.5,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['No'],['No'],['No'],['No'],basic
5.2.6,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['No'],['No'],['No'],['No'],basic
5.2.7,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],basic
5.2.9,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
5.2.10,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
6.1.1,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.2,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.3,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.4,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.5,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.6,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.7,Advanced Audit Policy Configuration,Account Logon,ENUM,"['Failure', 'Success and Failure']",['Success and Failure'],['Success and Failure'],"['Failure', 'Success and Failure']",basic
6.1.8,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.9,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.10,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.11,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.12,Advanced Audit Policy Configuration,Account Logon,ENUM,['Failure'],['Success and Failure'],['Success and Failure'],['Failure'],basic
6.1.13,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.14,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.15,Advanced Audit Policy Configuration,Account Logon,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.1.16,Advanced Audit Policy Configuration,Account Logon,ENUM,['4'],['4'],['4'],['4'],basic
6.1.17,Advanced Audit Policy Configuration,Account Logon,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
6.2.1,Advanced Audit Policy Configuration,AutoPlay Policies,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.2.2,Advanced Audit Policy Configuration,AutoPlay Policies,ENUM,['Enabled: Do not execute any autorun commands'],['Enabled: Do not execute any autorun commands'],['Enabled: Do not execute any autorun commands'],['Enabled: Do not execute any autorun commands'],basic
6.2.3,Advanced Audit Policy Configuration,AutoPlay Policies,ENUM,['Enabled: All drives'],['Enabled: All drives'],['Enabled: All drives'],['Enabled: All drives'],basic
7.1.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
7.2.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
7.3.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
7.4.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
7.5.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['2'],['1'],['0'],['2'],basic
